"id_curso","nome","id_coordenador","coordenador","situacao_curso","nivel_ensino","grau_academico","modalidade_educacao","area_conhecimento","tipo_oferta","turno","tipo_ciclo_formacao","municipio","campus","id_unidade_responsavel","unidade_responsavel","website","data_funcionamento","codigo_inep","dou","portaria_reconhecimento","convenio_academico"
414112,"ADMINISTRAÇÃO",15381,"Bigoloti Carrelo Coenga","ATIVO",NULL,"Bacharel","Presencial","Ciências Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÍLIA","DARCY RIBEIRO",327,"DEPTO ADMINISTRAÇÃO","","2018-07-18","145","2017-04-04","271",NULL
414099,"ADMINISTRAÇÃO",12869,"Schult Barbirato Deliberali","ATIVO",NULL,"Bacharel","Presencial","Ciências Sociais Aplicadas","Semestral","Noturno","Um ciclo","BRASÍLIA","DARCY RIBEIRO",327,"DEPTO ADMINISTRAÇÃO","","2018-07-18","145","2017-04-04","271",NULL
414196,"AGRONOMIA",10463,"Freimüller Shimada","ATIVO",NULL,"Engenheiro Agrônomo","Presencial","Ciências Agrárias","Semestral","Matutino e Vespertino","Um ciclo","BRASÍLIA","DARCY RIBEIRO",363,"FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA","","2017-12-26","135","1976-03-30","077346",NULL
414181,"ARQUITETURA E URBANISMO",5593,"Kudriavtzeva Pralon Labato Klôh","ATIVO",NULL,"Arquiteto e Urbanista","Presencial","Outra","Semestral","Noturno","Um ciclo","BRASÍLIA","DARCY RIBEIRO",353,"FACULDADE DE ARQUITETURA E URBANISMO","","2016-03-02","1138293","2015-10-30","815",NULL
414180,"ARQUITETURA E URBANISMO",1138,"Neponucena Lucacin Orou","ATIVO",NULL,"Arquiteto e Urbanista","Presencial","Ciências Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÍLIA","DARCY RIBEIRO",353,"FACULDADE DE ARQUITETURA E URBANISMO","","2016-03-02","132","2015-12-30","1096",NULL
414931,"ARQUIVOLOGIA",1370,"ANDRE PORTO ANCONA LOPEZ","ATIVO",NULL,"Bacharel","Presencial","Ciências Sociais Aplicadas","Semestral","Noturno","Um ciclo","BRASÍLIA","DARCY RIBEIRO",674,"FACULDADE DE CIÊNCIA DA INFORMAÇÃO","","2006-08-21","157","2011-08-04","309",NULL
414437,"ARTES CÊNICAS",8146,"JOSE FERNANDO MARQUES DE FREITAS FILHO","ATIVO",NULL,"Licenciado","Presencial","Lingüística, Letras e Artes","Semestral","Matutino e Vespertino","Um ciclo","BRASÍLIA","DARCY RIBEIRO",492,"DEPTO ARTES CÊNICAS","","2020-02-19","122200","1980-06-10","371",NULL
702696,"ARTES CÊNICAS                                                         ",17198,"Moftakharian Jaconelli","ATIVO",NULL,"Licenciado","Presencial","Lingüística, Letras e Artes","Semestral","Noturno","Um ciclo","BRASÍLIA","DARCY RIBEIRO",492,"DEPTO ARTES CÊNICAS",NULL,"2020-02-19","122198","1980-06-10","371",NULL
414436,"ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL",5262,"Watervliet Cansian Incote","ATIVO",NULL,"Bacharel","Presencial","Lingüística, Letras e Artes","Semestral","Matutino e Vespertino","Um ciclo","BRASÍLIA","DARCY RIBEIRO",492,"DEPTO ARTES CÊNICAS","","2019-08-05","22851","2017-08-07","846",NULL
414552,"ARTES VISUAIS",18559,"Jesirlene Dinisia Sgaravato","ATIVO",NULL,"Bacharel","Presencial","Lingüística, Letras e Artes","Semestral","Matutino e Vespertino","Um ciclo","BRASÍLIA","DARCY RIBEIRO",498,"DEPTO ARTES VISUAIS","","2013-12-18","300151","2013-11-28","626",NULL
