Departamento,Total de Cursos
DEPTO ADMINISTRAÇÃO,2
FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA,3
FACULDADE DE ARQUITETURA E URBANISMO,2
FACULDADE DE CIÊNCIA DA INFORMAÇÃO,3
DEPTO ARTES CÊNICAS,3
DEPTO ARTES VISUAIS,5
INSTITUTO DE ARTES,3
INSTITUTO DE CIÊNCIAS BIOLÓGICAS,4
DEPTO CIÊNCIAS DA COMPUTAÇÃO,3
INSTITUTO DE CIÊNCIA POLÍTICA,1
INSTITUTO DE GEOCIÊNCIAS,3
DEPTO CIÊNCIAS CONTÁBEIS ATUARIAIS,2
DEPTO ECONOMIA,1
FACULDADE DE PLANALTINA,8
DEPARTAMENTO DE ESTUDOS LATINO AMERICANO,1
DEPARTAMENTO DE SOCIOLOGIA,2
DEPTO ANTROPOLOGIA,1
DEPTO AUDIOVISUAIS E PUBLICIDADE,2
DEPTO DE COMUNICACAO ORGANIZACIONAL,1
DEPTO JORNALISMO,3
DEPARTAMENTO DE DESIGN (11.01.01.14.04),3
FACULDADE DE DIREITO,2
DEPTO MÚSICA,21
FACULDADE DE EDUCAÇÃO FÍSICA,3
DEPTO ENFERMAGEM,1
FACULDADE DE CEILÂNDIA,6
FACULDADE DO GAMA,6
DEPTO ENGENHARIA CIVIL E AMBIENTAL,2
FACULDADE DE  TECNOLOGIA,2
DEPTO ENGENHARIA ELETRICA,2
DEPTO ENGENHARIA FLORESTAL,1
DEPARTAMENTO DE ENGENHARIA MECANICA,1
INSTITUTO DE QUÍMICA,4
DEPTO ESTATÍSTICA,1
FACULDADE DE  CIÊNCIAS DA SAÚDE,2
DEPTO FILOSOFIA,3
INSTITUTO DE FÍSICA,4
DEPTO GEOGRAFIA,2
INSTITUTO DE CIÊNCIAS HUMANAS,1
DEPARTAMENTO DE GESTAO DE POLITICAS PUBL,1
DEPTO HISTÓRIA,3
DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO,9
"DEPTO LINGUISTICA, PORT. LING. CLASSICAS",5
INSTITUTO DE LETRAS,2
DEPARTAMENTO DE MATEMÁTICA,3
FACULDADE DE MEDICINA,1
DEPTO NUTRICAO,1
DEPTO ODONTOLOGIA,1
FACULDADE DE EDUCAÇÃO,3
INSTITUTO DE PSICOLOGIA,3
INSTITUTO DE RELAÇÕES INTERNACIONAIS,1
DEPTO SAUDE COLETIVA,1
DEPTO SERVIÇO SOCIAL,2
CENTRO DE EXCELÊNCIA EM TURISMO,1
